Datetime,target,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-22,3284.0,3624.7,3973.0,4369.5,4718.5,4938.55
2024-02-23,4771.0,3554.775,3984.75,4377.0,4760.5,5166.85
2024-02-24,3351.0,2962.2,3081.0,3229.0,3415.75,3639.175
2024-02-25,1850.0,1323.025,1449.25,1561.5,1699.0,1893.4
2024-02-26,4518.0,4004.075,4301.75,4534.0,4711.25,4860.425
2024-02-27,5020.0,4114.125,4583.25,4899.5,5188.0,5582.2
2024-02-28,5264.0,3646.65,4363.5,4776.5,5014.5,5258.85
2024-02-29,5600.0,3178.575,3624.75,3991.0,4360.75,4816.375
2024-03-01,5397.0,3930.075,4254.75,4596.0,4946.5,5296.15
2024-03-02,4013.0,3000.9,3171.0,3343.5,3511.0,3667.6
2024-03-03,2033.0,1329.55,1487.5,1634.0,1798.5,2005.05
2024-03-04,4602.0,3997.5499999999997,4263.5,4487.0,4667.25,4816.425
2024-03-05,4681.0,4137.925,4677.25,4990.0,5244.5,5626.55
2024-03-06,4078.0,3656.0750000000003,4466.75,4923.0,5179.75,5451.775
2024-03-07,5158.0,3229.8,3759.0,4389.5,5027.5,5576.95
2024-03-08,5029.0,3930.825,4262.25,4643.5,5049.75,5448.675
2024-03-09,3737.0,3107.025,3314.25,3507.0,3732.0,4026.2999999999997
2024-03-10,1739.0,1387.4,1598.0,1801.5,1982.5,2132.35
2024-03-11,5019.0,3973.2999999999997,4246.0,4451.5,4629.25,4827.025
2024-03-12,4500.0,4109.8,4585.0,4900.0,5195.25,5617.125
2024-03-13,4007.0,4079.275,4603.75,4942.5,5186.75,5456.075
2024-03-14,5595.0,3380.025,4370.25,4964.0,5313.5,5644.25
2024-03-15,4759.0,4275.975,4635.75,4968.0,5252.75,5484.275
2024-03-16,3398.0,3267.3,3486.0,3662.0,3847.25,4090.9249999999997
2024-03-17,2034.0,1577.3500000000001,1724.5,1860.5,1996.25,2142.725
2024-03-18,4332.0,4270.75,4439.5,4644.0,4863.0,5070.9
2024-03-19,5595.0,4370.5,4654.0,4896.0,5180.75,5579.675
2024-03-20,5746.0,3747.5,4166.0,4637.5,5055.75,5330.475
2024-03-21,5687.0,3404.1,4611.0,5249.5,5547.75,5835.974999999999
