Datetime,target,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-22,3284.0,2644.445830757214,3736.9499418161145,4097.0333444408525,4402.01688400185,5189.0508294438805
2024-02-23,4771.0,3229.3623242984436,4396.8043815678675,4704.6422843211685,5036.839751472653,5830.888028350401
2024-02-24,3351.0,2385.0996405812543,3301.946942702804,3505.755521922866,3790.6869535555297,4686.192554971296
2024-02-25,1850.0,1183.1667918274263,1617.9757098626587,1772.3157655279851,1952.0384756263445,2602.1058881624344
2024-02-26,4518.0,2180.0413516860162,4137.111684031342,4618.95131434076,5031.568093813146,6016.236378223816
2024-02-27,5020.0,2331.3454743836596,4517.348928826788,4878.378433152262,5381.254743097228,6581.002901904877
2024-02-28,5264.0,2285.82315329086,4522.798531881032,5052.613843520918,5363.528070133135,6564.830806696766
2024-02-29,5600.0,2058.174439180879,4021.6391342979778,4682.442256420385,4942.860634590792,6006.349853884091
2024-03-01,5397.0,2296.276336585965,4346.0124481466455,4750.031588097875,5149.867839012062,6095.559767220178
2024-03-02,4013.0,2062.221050438166,3523.0967305594168,3817.296102430721,4106.595708403375,5339.912231782501
2024-03-03,2033.0,1087.9519728786331,1808.3671304477418,2032.2094209446702,2208.416996110473,3362.576408329052
2024-03-04,4602.0,2559.6688205077153,4213.683853196294,4660.144463967381,5194.536630165081,6107.201496277647
2024-03-05,4681.0,2673.6726830607754,4386.9981040575785,4700.5577310858425,5346.6314139468695,6277.410174873859
2024-03-06,4078.0,2495.4152488903123,4059.7061023261267,4373.973769781024,5015.146484529207,6205.846780288756
2024-03-07,5158.0,3207.5112964219347,4652.745550518345,4842.172610953793,5312.08651469387,6080.636170950715
2024-03-08,5029.0,3388.7031636122133,4640.418321952425,4966.458654969784,5434.784900781575,6329.782585985779
2024-03-09,3737.0,2718.788875234455,3781.7672132615153,4075.4175098012665,4328.704863597027,5103.63392024828
2024-03-10,1739.0,1033.0057064737548,1525.8626668685597,1638.4725259794848,1981.9448916646422,2546.6677752614005
2024-03-11,5019.0,3288.567896616135,4686.244137218612,5071.584896258883,5537.152653486697,6024.248934338929
2024-03-12,4500.0,3135.932237122635,4325.528002586031,4767.665557852443,5137.286637602411,5937.231824983585
2024-03-13,4007.0,2939.5515685344308,4248.928103054926,4844.152896787796,5274.752290897669,6111.328478411804
2024-03-14,5595.0,3598.8925628439124,5098.251779610203,5346.436696608366,5892.359684262687,6642.46092169867
2024-03-15,4759.0,3522.651555500834,4709.739352623699,5035.460359623547,5512.423323936562,6431.494095359394
2024-03-16,3398.0,2101.378892052934,3243.029481143237,3617.4603355628346,4021.598281260219,4886.640350188024
2024-03-17,2034.0,1178.1115697062346,1778.8349672929946,1917.313240650957,2168.5285642562653,2948.1130056224374
2024-03-18,4332.0,2620.841985195055,4479.423134655702,4903.727607840428,5271.728959902755,6071.659968615004
2024-03-19,5595.0,2859.071941256913,4849.419526183264,5330.920576660055,5725.105734331317,6476.644845236503
2024-03-20,5746.0,2763.508337560273,4776.997566760476,5320.450835884756,5776.019899876216,6441.250209312276
2024-03-21,5687.0,3212.818152107743,5274.5681785722845,5631.259850850097,6025.536711119485,6930.127672340277
2024-03-22,5544.0,3112.725262497913,5247.0960253655885,5684.301834468539,6072.0799992554485,7037.106710272143
2024-03-23,3050.0,1392.1277272346426,2846.2098422984436,3330.776142742539,3773.31507223183,4675.017928916057
2024-03-24,1260.0,623.3541477166226,1218.131687973159,1473.875035545079,1937.034099593815,2454.981503911108
2024-03-25,4919.0,2579.428550231911,4434.109561069237,5055.171515736299,5392.752097946944,6440.945752682529
2024-03-26,5187.0,3185.5387791688295,5205.134888121474,5821.281841621204,5994.467142206901,7033.9638228635595
2024-03-27,4745.0,2730.0649475526434,4314.304072337057,4844.067819906464,5197.046883255072,6385.966425259659
2024-03-28,4327.0,2940.1898077964197,4485.354173776216,4912.724420835068,5405.7094867982805,6445.43191411673
