Datetime,target,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-22,3284.0,1872.125,3109.0,3766.0,4350.0,5723.5
2024-02-23,4771.0,3060.375,4195.75,4695.5,5194.25,6652.625
2024-02-24,3351.0,2233.25,3144.25,3534.0,3937.5,4948.75
2024-02-25,1850.0,912.625,1491.75,1802.0,2111.75,3165.0
2024-02-26,4518.0,3001.625,4227.25,4725.5,5240.0,6601.625
2024-02-27,5020.0,3142.75,4550.0,5101.0,5648.25,6888.5
2024-02-28,5264.0,3153.125,4404.75,4890.5,5377.5,6683.0
2024-02-29,5600.0,2610.375,3960.0,4472.5,4999.0,6239.0
2024-03-01,5397.0,2946.25,4278.75,4770.0,5266.0,6519.375
2024-03-02,4013.0,2537.625,3519.0,3959.0,4395.75,5649.75
2024-03-03,2033.0,979.625,1630.75,1971.0,2346.25,3361.75
2024-03-04,4602.0,2957.25,4159.5,4649.0,5137.5,6311.125
2024-03-05,4681.0,2986.75,4410.25,4932.5,5449.0,6655.125
2024-03-06,4078.0,2793.25,4026.75,4585.5,5120.5,6321.5
2024-03-07,5158.0,3253.75,4563.5,5090.5,5571.5,6770.125
2024-03-08,5029.0,3118.375,4561.75,5072.0,5622.25,6937.625
2024-03-09,3737.0,2748.0,3739.5,4179.0,4618.75,5771.375
2024-03-10,1739.0,790.625,1404.75,1733.0,2103.0,3536.75
2024-03-11,5019.0,3274.875,4411.0,4892.5,5376.25,6477.25
2024-03-12,4500.0,2835.375,4080.25,4604.5,5165.25,6452.75
2024-03-13,4007.0,2601.0,4133.75,4787.5,5437.5,6904.875
2024-03-14,5595.0,3082.25,4617.75,5170.5,5737.25,7114.25
2024-03-15,4759.0,2961.0,4348.25,5004.5,5585.0,6945.75
2024-03-16,3398.0,1975.5,3275.25,3828.0,4302.5,5450.375
2024-03-17,2034.0,950.875,1682.25,2035.5,2436.0,3388.75
2024-03-18,4332.0,2777.0,4219.0,4798.0,5346.25,6669.375
2024-03-19,5595.0,3158.625,4688.5,5338.0,5883.5,7462.375
2024-03-20,5746.0,3256.25,4775.5,5339.0,5943.25,7586.125
2024-03-21,5687.0,3677.0,5008.25,5550.0,6097.0,7346.25
2024-03-22,5544.0,3405.0,4937.75,5501.0,6086.25,7477.75
2024-03-23,3050.0,1648.625,3076.0,3542.0,4011.0,5164.0
2024-03-24,1260.0,490.5,1150.75,1515.0,1918.75,2924.125
2024-03-25,4919.0,2829.875,4464.25,5019.5,5530.5,6642.75
2024-03-26,5187.0,3827.375,5152.75,5671.0,6205.5,7320.0
2024-03-27,4745.0,2981.375,4429.25,5002.5,5562.75,6799.125
2024-03-28,4327.0,3005.125,4528.5,5145.5,5770.75,7137.625
2024-03-29,1198.0,838.625,1515.75,1834.5,2296.0,3822.625
2024-03-30,2757.0,2557.625,3700.5,4210.0,4737.75,5918.625
2024-03-31,1174.0,881.25,1638.0,2020.0,2460.25,4138.625
2024-04-01,873.0,494.375,903.75,1206.5,1652.5,2758.875
2024-04-02,3927.0,2842.625,4294.75,4840.0,5433.0,6751.375
2024-04-03,4065.0,2525.375,3809.0,4438.0,5028.25,6307.25
2024-04-04,3465.0,1993.25,3389.5,4158.5,4894.5,6420.5
2024-04-05,5210.0,2867.25,4678.0,5493.0,6327.25,8654.73500000003
2024-04-06,4481.0,2366.25,3434.5,4092.5,4839.0,6615.125
2024-04-07,2474.0,905.625,1632.0,2075.0,2629.75,5746.25
2024-04-08,5779.0,2775.5,4725.75,5610.5,6553.0,10921.255000000237
2024-04-09,5165.0,2570.625,3924.75,4570.5,5183.5,6661.75
2024-04-10,5632.0,3260.0,4595.0,5147.5,5679.25,7016.5
2024-04-11,5880.0,3711.125,5060.0,5660.0,6252.75,7684.75
2024-04-12,5960.0,3558.375,4895.25,5458.5,6019.25,7276.0
2024-04-13,4482.0,2857.625,4043.75,4611.0,5161.5,6644.0
2024-04-14,2580.0,1116.0,1887.5,2286.5,2783.75,4731.625
2024-04-15,4924.0,2511.125,4151.0,4854.5,5530.0,7014.25
2024-04-16,4278.0,2172.625,3677.25,4339.0,4981.25,6541.25
2024-04-17,4319.0,2910.875,4281.75,4884.0,5495.75,6740.875
2024-04-18,4525.0,3241.625,4581.75,5172.5,5751.5,7045.75
2024-04-19,3414.0,2071.125,3359.75,4039.0,4727.0,6048.0
