Datetime,target,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-22,3284.0,2186.7622,3669.46,4032.5273,4434.4893,5520.5947
2024-02-23,4771.0,2910.5188,4434.8726,4723.6543,5012.5317,5976.0723
2024-02-24,3351.0,2282.7908,3311.6543,3547.6956,3775.3423,4889.89
2024-02-25,1850.0,1172.6827,1603.2087,1787.4119,1894.7628,3120.1135
2024-02-26,4518.0,2827.069,4132.2783,4492.695,5062.1694,6282.099
2024-02-27,5020.0,3043.0977,4471.8325,4793.3384,5399.4644,6729.9443
2024-02-28,5264.0,3054.9458,4458.266,4792.357,5352.7393,6646.3584
2024-02-29,5600.0,2555.316,4038.2466,4574.6885,4955.7393,6210.563
2024-03-01,5397.0,2891.6729,4322.1377,4759.893,5046.494,6505.6533
2024-03-02,4013.0,2311.8374,3477.5767,3808.9329,4024.3862,5549.8647
2024-03-03,2033.0,1128.0745,1752.6045,1944.7054,2217.5906,3898.3987
2024-03-04,4602.0,2694.9653,4268.538,4683.508,5035.509,6023.253
2024-03-05,4681.0,2864.8086,4403.878,4789.454,5196.081,6311.433
2024-03-06,4078.0,2593.0806,4098.4336,4399.778,4904.0684,6060.2085
2024-03-07,5158.0,3148.954,4579.243,4890.316,5122.9087,6273.6274
2024-03-08,5029.0,3318.1438,4633.769,4967.507,5260.5454,6357.2056
2024-03-09,3737.0,2601.8052,3807.7256,4136.316,4253.16,5211.096
2024-03-10,1739.0,1032.1471,1532.7732,1773.1931,1893.0845,3285.1406
2024-03-11,5019.0,3003.136,4704.7603,5087.402,5420.514,6208.7026
2024-03-12,4500.0,2863.508,4356.409,4849.8,5131.459,6145.084
2024-03-13,4007.0,2766.3306,4340.2925,4905.707,5282.348,6310.021
2024-03-14,5595.0,3202.8328,5046.5146,5338.3726,5708.227,6636.374
2024-03-15,4759.0,3166.4458,4722.0156,4987.6406,5339.195,6410.907
2024-03-16,3398.0,2080.1333,3245.8625,3590.9072,3892.2778,5031.49
2024-03-17,2034.0,1172.0056,1737.9344,2004.152,2094.5583,3467.545
2024-03-18,4332.0,2769.7576,4443.56,4828.5195,5243.5146,6353.125
2024-03-19,5595.0,2943.0205,4816.0083,5294.8574,5710.9155,6752.1177
2024-03-20,5746.0,2787.158,4751.352,5391.8594,5759.3066,6659.8857
2024-03-21,5687.0,3414.6042,5243.835,5678.219,5939.3975,6942.567
2024-03-22,5544.0,3420.7454,5188.5625,5704.015,6079.961,6883.081
2024-03-23,3050.0,1820.8839,2903.1375,3325.4521,3715.8816,5044.066
2024-03-24,1260.0,731.8175,1261.5223,1572.088,1882.3713,3172.3347
2024-03-25,4919.0,3019.017,4540.1245,5025.4624,5459.9033,6379.502
