Datetime,target,q0.025,q0.25,q0.5,q0.75,q0.975
2024-02-22 00:00:00,48.25425,43.227199999999996,45.8705,46.94225,48.33125,51.4165
2024-02-22 01:00:00,47.45925,40.0895,44.9665,45.86825,46.88875,49.28935
2024-02-22 02:00:00,47.70125,41.0312,45.90225,46.91125,48.2245,50.99449999999999
2024-02-22 03:00:00,48.746,45.3893,48.24675,49.19725,50.199,52.7633
2024-02-22 04:00:00,51.8235,48.633050000000004,50.462,50.9375,51.78825,54.2557
2024-02-22 05:00:00,59.09975,55.8835,58.61525,59.663,60.9525,63.1641
2024-02-22 06:00:00,64.31575,60.629349999999995,63.063,64.1425,65.40975,68.388
2024-02-22 07:00:00,66.7055,61.8304,64.8875,66.1545,67.3915,70.34725
2024-02-22 08:00:00,67.96625,62.1648,65.139,66.35975,67.8295,71.6755
2024-02-22 09:00:00,68.288,61.8851,65.425,67.10725,68.54625,72.852
2024-02-22 10:00:00,68.2025,62.60365,65.5145,66.938,68.4125,71.78325
2024-02-22 11:00:00,67.268,62.3415,65.373,66.7995,67.96625,70.91164999999998
2024-02-22 12:00:00,66.58275,62.3258,64.42225,65.85175,67.043,69.467
2024-02-22 13:00:00,65.056,60.90825,63.1785,64.27075,65.52,68.25054999999999
2024-02-22 14:00:00,64.48125,60.44075,62.45925,63.902,65.0495,67.92175
2024-02-22 15:00:00,64.0325,60.10625,62.376,63.902,65.07775,68.5418
2024-02-22 16:00:00,66.20775,62.34625,64.4285,66.10275,67.8295,71.24269999999999
2024-02-22 17:00:00,68.96125,62.0278,65.28175,66.982,68.49025,72.63915
2024-02-22 18:00:00,67.968,61.10575,64.061,65.46575,67.22025,70.489
2024-02-22 19:00:00,63.9385,58.6201,61.47775,62.45975,63.686,66.226
2024-02-22 20:00:00,60.5775,55.248,57.35425,58.47825,59.6705,62.37835
2024-02-22 21:00:00,57.8125,51.81425,54.47775,55.662,57.06225,59.881
2024-02-22 22:00:00,54.81125,48.02425,49.9825,50.764,51.68775,54.0085
2024-02-22 23:00:00,52.10775,41.5785,47.0445,48.4655,49.68075,52.0675
2024-02-23 00:00:00,50.31175,41.01725,45.016,46.04725,47.56025,49.751
2024-02-23 01:00:00,50.075,41.38765,44.9425,45.88725,47.224,49.797999999999995
2024-02-23 02:00:00,50.1065,41.01725,45.60625,46.5145,47.71325,49.80975
2024-02-23 03:00:00,51.2075,44.86295,48.27775,49.19725,50.1605,52.0675
2024-02-23 04:00:00,54.06925,48.4755,50.6215,51.288,52.5805,54.62475
2024-02-23 05:00:00,60.03975,55.248,57.35425,58.47825,59.50875,62.27964999999999
2024-02-23 06:00:00,65.0235,61.5489,63.46325,64.42225,65.823,68.94255
2024-02-23 07:00:00,66.7345,61.863,65.7585,67.5525,68.64475,72.48504999999999
2024-02-23 08:00:00,67.22425,62.25525,65.76825,67.213,68.54625,72.63915
2024-02-23 09:00:00,67.68725,62.0278,66.03825,67.63725,68.9315,72.6399
2024-02-23 10:00:00,68.496,62.25525,66.03825,67.59975,68.716,72.0907
2024-02-23 11:00:00,67.4595,62.02985,65.9345,67.412,68.64475,71.76185
2024-02-23 12:00:00,65.4355,62.34625,65.09225,66.33375,67.86525,71.94354999999999
2024-02-23 13:00:00,64.0545,60.818,63.0955,64.20325,65.5765,67.85275
2024-02-23 14:00:00,63.12375,59.92065,61.92225,63.162,64.20325,66.56465
2024-02-23 15:00:00,62.44375,59.13615,61.38325,62.39275,63.71775,66.32709999999999
2024-02-23 16:00:00,63.3535,60.30045,62.46825,63.78975,65.10975,67.2646
2024-02-23 17:00:00,65.99425,61.65075,63.615,64.6185,65.98425,68.1325
2024-02-23 18:00:00,64.791,59.29975,61.90975,62.8235,64.0195,66.23649999999999
2024-02-23 19:00:00,61.538,55.57465,58.38725,59.47525,60.83,63.33875
2024-02-23 20:00:00,57.794,52.20775,54.59325,56.08975,57.22325,59.92635
2024-02-23 21:00:00,54.8805,48.28105,51.442,52.95825,54.37875,60.67575
2024-02-23 22:00:00,51.2335,45.415150000000004,47.9165,49.18125,50.51825,53.95959999999999
2024-02-23 23:00:00,48.1735,40.1197,45.391,46.83525,47.85525,50.95194999999999
2024-02-24 00:00:00,46.2495,38.8861,43.6355,45.32025,46.96475,49.3012
2024-02-24 01:00:00,44.5785,38.1184,42.8975,44.56075,46.06775,48.74975
2024-02-24 02:00:00,43.88425,38.189,43.27275,44.7485,46.29,48.8725
2024-02-24 03:00:00,43.81675,38.2022,43.3815,44.9855,46.52,48.93725
2024-02-24 04:00:00,44.35425,39.3444,43.77475,45.64675,47.2205,49.3012
2024-02-24 05:00:00,45.5165,40.426,45.1515,46.75575,47.60475,49.571
2024-02-24 06:00:00,48.097,44.046099999999996,46.38725,48.339,49.5105,52.69005
2024-02-24 07:00:00,51.59725,45.76735,49.6125,51.18525,52.47575,56.404
2024-02-24 08:00:00,54.0625,50.85475,53.275,54.52075,55.82525,61.17074999999995
2024-02-24 09:00:00,55.07775,51.05485,53.80725,55.10625,56.5085,59.57535
2024-02-24 10:00:00,55.99425,52.13055,54.5015,55.9235,57.02725,59.79975
2024-02-24 11:00:00,55.71325,50.91075,53.4005,54.493,55.6505,58.3382
2024-02-24 12:00:00,53.89125,48.7605,51.1665,52.40425,53.51575,56.2527
2024-02-24 13:00:00,52.53575,48.145849999999996,50.625,51.39475,52.45725,54.69075
2024-02-24 14:00:00,51.32725,48.058,50.4295,51.01775,51.90925,54.183150000000005
2024-02-24 15:00:00,51.81825,48.93715,51.32075,52.30325,53.3495,55.27095
2024-02-24 16:00:00,54.823,50.76855,53.18725,54.222,55.28325,58.45519999999999
2024-02-24 17:00:00,58.15,52.82775,55.05125,56.27525,57.41175,59.93475
2024-02-24 18:00:00,57.667,50.91075,53.447,54.63125,55.95325,60.294149999999995
2024-02-24 19:00:00,54.11875,46.62625,49.70725,51.2425,52.79,55.75689999999999
2024-02-24 20:00:00,51.7345,44.798,46.74325,48.424,49.92675,53.312349999999995
2024-02-24 21:00:00,50.3865,41.67125,45.784,47.367,48.8825,51.716449999999995
2024-02-24 22:00:00,47.02,41.287400000000005,44.00925,45.4255,47.04025,49.295
2024-02-24 23:00:00,44.50175,37.504,40.69175,42.5415,44.06,45.99455
2024-02-25 00:00:00,43.13475,35.884350000000005,42.124,42.53675,43.526,48.53075
2024-02-25 01:00:00,42.3515,38.2236,42.1855,42.53675,43.192,46.90739999999995
2024-02-25 02:00:00,41.7925,39.5175,42.3335,42.53675,43.186,45.854
2024-02-25 03:00:00,41.737,39.55165,42.27975,42.53675,43.04875,45.854
2024-02-25 04:00:00,41.44925,37.262,41.884,42.453,43.04875,46.2555
2024-02-25 05:00:00,41.9845,36.7215,40.40875,41.95775,42.88025,45.96075
2024-02-25 06:00:00,43.69675,38.554950000000005,41.64925,43.4565,44.42675,46.182
2024-02-25 07:00:00,46.9415,40.0895,44.44175,45.8325,47.0485,49.40945
2024-02-25 08:00:00,49.8705,44.388349999999996,47.23275,49.096,50.155,52.649699999999996
2024-02-25 09:00:00,52.432,45.68275,49.2875,50.7095,51.8355,55.052
2024-02-25 10:00:00,54.36075,48.41025,51.3145,52.597,53.7975,56.93719999999999
2024-02-25 11:00:00,54.39625,47.48195,51.03725,52.2755,53.5005,56.38489999999999
2024-02-25 12:00:00,52.18825,45.826699999999995,49.552,50.97175,52.28825,54.77974999999999
